Lat,Long,x,y
8394620,4833266,2542,1190
8443540,322870,2081,1185
8443540,3228700,2378,1185
7670609,-3854872,1654,1264
7651041,-3326539,1708,1266
6721566,-3864656,1653,1361
6711782,-3336323,1707,1362
6320425,4852834,2544,1402
6261721,3238484,2379,1408
6163882,381574,2087,1418
4931105,3209132,2376,1544
4950673,4843050,2543,1542
2759071,4872402,2546,1766
2700367,3258052,2381,1772
1995924,-4618019,1576,1844
1575214,-4177742,1621,1887
1565430,-5107216,1526,1888
1311048,3209132,2376,1914
1291480,4882186,2547,1916
997962,-5097432,1527,1946
1037098,-4197310,1619,1942
587036,-4618019,1576,1988
342438,-1174073,1928,2013
332654,58704,2054,2014
-176111,29352,2051,2066
-215247,-1164289,1929,2070
-694660,-1144721,1931,2119
-704444,97839,2058,2120
-812067,3267836,2382,2131
-870771,4764779,2535,2137
-1213208,48920,2053,2172
-1311048,-1105585,1935,2182
-1839381,-1144721,1931,2236
-1888300,58704,2054,2241
-2220954,4715859,2530,2275
-2240522,3287404,2384,2277
-4490828,3277620,2383,2507
-4490828,4764779,2535,2507
-4490828,-557685,1991,2507
-5586629,4588668,2517,2619
-5606197,-5097432,1527,2621
-6359561,-313086,2016,2698
-6339993,5293111,2589,2696
-6369345,1761109,2228,2699
-6388912,234815,2072,2701
-6379129,792499,2129,2700
-6359561,1242560,2175,2698
-6359561,2279658,2281,2698
-6359561,2827559,2337,2698
-6643295,-733795,1973,2727
-6662863,3287404,2384,2729
-6907461,5312679,2591,2754
-7083572,-724012,1974,2772
-7083572,3306972,2386,2772
-7426010,763147,2126,2807
-7445578,5371383,2597,2809
-7455362,283734,2077,2810
-7474930,2896046,2344,2812
-7435794,-273950,2020,2808
-7484714,2250306,2278,2813
-7455362,1350184,2186,2810
-7484714,1839381,2236,2813
-7572769,-3336323,1707,2822
-7602121,-2661232,1776,2825
